****************************************************************************************** 
 OPINION SPAM DETECTING SYSTEM 
 TESTING RESULT 
 DESIGNED BY LONGNH & NGHIAPHT 
 UNIVERSITY OF TECHNOLOGY 
******************************************************************************************


*******************************
TEST SPAM 
*******************************
NUM 	 PRODUCT TYPE 	 EXPECTED TYPE 	 CONDITION1 	 CONDITION2 	 CONDITION3 	 CONDITION4 	 ACTUAL TYPE 	 RESULT
101	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
102	book	brand-only	 false 	 false 	 false 	 false	non-spam	 fail
103	phone	brand-only	 false 	 false 	 false 	 false	non-spam	 fail
104	phone	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
105	phone	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
106	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
107	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
108	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
109	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
110	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
111	laptop	brand-only	 false 	 false 	 false 	 false	non-spam	 fail
112	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
113	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
114	laptop	brand-only	 false 	 false 	 false 	 false	non-spam	 fail
115	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
116	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
117	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
118	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
119	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
120	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
121	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
122	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
123	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
124	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
125	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
126	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
127	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
128	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
129	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
130	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
131	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
132	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
133	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
134	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
135	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
136	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
137	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
138	phone	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
139	phone	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
140	phone	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
141	phone	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
142	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
143	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
144	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
145	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
146	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
147	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
148	phone	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
149	phone	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
150	phone	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
151	phone	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
152	phone	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
153	phone	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
154	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
155	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
156	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
157	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
158	laptop	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
159	camera	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
160	camera	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
161	phone	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
162	phone	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
163	phone	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
164	phone	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
165	phone	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
166	phone	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
167	phone	brand-only	 false 	 false 	 true 	 -	brand-only	 passed
