****************************************************************************************** 
 OPINION SPAM DETECTING SYSTEM 
 TESTING RESULT 
 DESIGNED BY LONGNH & NGHIAPHT 
 UNIVERSITY OF TECHNOLOGY 
******************************************************************************************


*******************************
TEST SPAM 
*******************************
NUM 	 PRODUCT TYPE 	 EXPECTED TYPE 	 CONDITION1 	 CONDITION2 	 CONDITION3 	 CONDITION4 	 ACTUAL TYPE 	 RESULT
1	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
2	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
3	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
4	phone	non-review	 false 	 false 	 false 	 false	non-spam	 fail
5	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
6	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
7	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
8	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
9	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
10	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
11	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
12	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
13	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
14	phone	non-review	 false 	 false 	 false 	 false	non-spam	 fail
15	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
16	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
17	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
18	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
19	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
20	phone	non-review	 false 	 false 	 false 	 false	non-spam	 fail
21	phone	non-review	 false 	 false 	 false 	 false	non-spam	 fail
22	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
23	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
24	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
25	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
26	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
27	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
28	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
29	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
30	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
31	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
32	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
33	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
34	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
35	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
36	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
37	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
38	phone	non-review	 false 	 false 	 false 	 false	non-spam	 fail
39	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
40	phone	non-review	 true 	 - 	 - 	 -	non-review	 passed
41	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
42	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
43	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
44	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
45	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
46	laptop	non-review	 false 	 false 	 false 	 false	non-spam	 fail
47	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
48	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
49	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
50	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
51	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
52	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
53	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
54	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
55	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
56	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
57	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
58	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
59	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
60	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
61	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
62	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
63	laptop	non-review	 false 	 false 	 false 	 false	non-spam	 fail
64	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
65	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
66	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
67	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
68	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
69	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
70	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
71	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
72	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
73	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
74	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
75	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
76	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
77	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
78	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
79	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
80	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
81	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
82	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
83	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
84	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
85	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
86	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
87	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
88	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
89	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
90	laptop	non-review	 false 	 false 	 false 	 false	non-spam	 fail
91	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
92	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
93	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
94	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
95	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
96	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
97	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
98	laptop	non-review	 true 	 - 	 - 	 -	non-review	 passed
