****************************************************************************************** 
 OPINION SPAM DETECTING SYSTEM 
 TESTING RESULT 
 DESIGNED BY LONGNH & NGHIAPHT 
 UNIVERSITY OF TECHNOLOGY 
******************************************************************************************


*******************************
TEST SPAM 
*******************************
NUM 	 PRODUCT TYPE 	 EXPECTED TYPE 	 CONDITION1 	 CONDITION2 	 CONDITION3 	 CONDITION4 	 ACTUAL TYPE 	 RESULT
201	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
202	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
203	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
204	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
205	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
206	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
207	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
208	phone	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
209	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
210	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
211	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
212	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
213	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
214	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
215	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
216	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
217	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
218	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
219	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
220	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
221	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
222	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
223	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
224	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
225	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
226	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
227	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
228	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
229	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
230	phone	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
231	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
232	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
233	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
234	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
235	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
236	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
237	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
238	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
239	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
240	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
241	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
242	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
243	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
244	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
245	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
246	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
247	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
248	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
249	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
250	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
251	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
252	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
253	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
254	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
255	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
256	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
257	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
258	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
259	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
260	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
261	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
262	book	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
263	book	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
264	book	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
265	book	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
266	book	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
267	book	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
268	book	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
269	book	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
270	book	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
271	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
272	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
273	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
274	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
275	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
276	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
277	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
278	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
279	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
280	laptop	off-topic	 false 	 true 	 - 	 -	off-topic	 passed
281	laptop	off-topic	 false 	 false 	 false 	 false	non-spam	 fail
