****************************************************************************************** 
 OPINION SPAM DETECTING SYSTEM 
 TESTING RESULT 
 DESIGNED BY LONGNH & NGHIAPHT 
 UNIVERSITY OF TECHNOLOGY 
******************************************************************************************


*******************************
TEST SPAM 
*******************************
NUM 	 PRODUCT TYPE 	 EXPECTED TYPE 	 CONDITION1 	 CONDITION2 	 CONDITION3 	 CONDITION4 	 ACTUAL TYPE 	 RESULT
301	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
302	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
303	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
304	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
305	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
306	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
307	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
308	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
309	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
310	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
311	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
312	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
313	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
314	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
315	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
316	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
317	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
318	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
319	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
320	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
321	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
322	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
323	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
324	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
325	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
326	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
327	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
328	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
329	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
330	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
331	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
332	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
333	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
334	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
335	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
336	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
337	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
338	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
339	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
340	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
341	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
342	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
343	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
344	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
345	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
346	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
347	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
348	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
349	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
350	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
351	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
352	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
353	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
354	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
355	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
356	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
357	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
358	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
359	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
360	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
361	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
362	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
363	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
364	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
365	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
366	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
367	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
368	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
369	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
370	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
371	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
372	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
373	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
374	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
375	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
376	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
377	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
378	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
379	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
380	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
381	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
382	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
383	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
384	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
385	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
386	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
387	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
388	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
389	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
390	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
391	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
392	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
393	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
394	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
395	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
396	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
397	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
398	hotel	untruthful	 false 	 false 	 false 	 false	non-spam	 fail
399	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed
400	hotel	untruthful	 false 	 false 	 false 	 true	untruthful	 passed


*******************************
TEST NON SPAM 
*******************************
NUM 	 PRODUCT TYPE 	 EXPECTED TYPE 	 CONDITION1 	 CONDITION2 	 CONDITION3 	 CONDITION4 	 ACTUAL TYPE 	 RESULT
1	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
2	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
3	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
4	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
5	hotel	non-spam	 false 	 false 	 false 	 true	untruthful	 fail
6	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
7	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
8	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
9	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
10	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
11	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
12	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
13	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
14	hotel	non-spam	 false 	 false 	 false 	 true	untruthful	 fail
15	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
16	hotel	non-spam	 false 	 false 	 false 	 true	untruthful	 fail
17	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
18	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
19	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
20	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
21	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
22	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
23	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
24	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
25	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
26	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
27	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
28	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
29	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
30	hotel	non-spam	 false 	 false 	 false 	 true	untruthful	 fail
31	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
32	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
33	hotel	non-spam	 false 	 false 	 false 	 true	untruthful	 fail
34	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
35	hotel	non-spam	 false 	 false 	 false 	 true	untruthful	 fail
36	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
37	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
38	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
39	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
40	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
41	hotel	non-spam	 false 	 false 	 false 	 true	untruthful	 fail
42	hotel	non-spam	 false 	 false 	 false 	 true	untruthful	 fail
43	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
44	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
45	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
46	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
47	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
48	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
49	hotel	non-spam	 false 	 false 	 false 	 true	untruthful	 fail
50	hotel	non-spam	 false 	 false 	 false 	 true	untruthful	 fail
51	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
52	hotel	non-spam	 false 	 false 	 false 	 true	untruthful	 fail
53	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
54	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
55	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
56	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
57	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
58	hotel	non-spam	 false 	 false 	 false 	 true	untruthful	 fail
59	hotel	non-spam	 false 	 false 	 false 	 true	untruthful	 fail
60	hotel	non-spam	 false 	 false 	 false 	 true	untruthful	 fail
61	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
62	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
63	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
64	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
65	hotel	non-spam	 false 	 false 	 false 	 true	untruthful	 fail
66	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
67	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
68	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
69	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
70	hotel	non-spam	 false 	 false 	 false 	 true	untruthful	 fail
71	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
72	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
73	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
74	hotel	non-spam	 false 	 false 	 false 	 true	untruthful	 fail
75	hotel	non-spam	 false 	 false 	 false 	 true	untruthful	 fail
76	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
77	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
78	hotel	non-spam	 false 	 false 	 false 	 true	untruthful	 fail
79	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
80	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
81	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
82	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
83	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
84	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
85	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
86	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
87	hotel	non-spam	 false 	 false 	 false 	 true	untruthful	 fail
88	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
89	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
90	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
91	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
92	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
93	hotel	non-spam	 false 	 false 	 false 	 false	non-spam	 passed
